Date,Randwick,Rozelle,Lindfield,Liverpool,Bringelly,Chullora,Earlwood,Richmood,Bargo,ST Marys,Vineyard,Macarturm,Oakdale,Prospect,Campbelltown,Camden
1993,,1.9,,1.5,,,2,0.8,,,,,,,,
1994,,1.7,,1.6,0.8,,1.6,0.8,,1,,,,,,
1995,1.4,1.8,1.3,1.5,,,1.6,,,1,0.8,,,,,
1996,1.2,,1.2,1.2,,,,0.8,,0.9,,,,,,
1997,1.3,,1.2,1.4,0.7,,1.5,0.8,0.7,,0.8,,0.4,,,
1998,1.2,,1.2,1.4,0.6,,,0.7,,,0.7,,0.6,,,
1999,1.1,1.5,1.1,1.4,0.7,,1.6,0.7,0.7,0.8,0.9,,0.3,,,
2000,1.2,1.4,1.1,1.4,0.7,,1.5,0.6,0.7,0.8,0.7,,0.2,,,
2001,1.1,1.4,1.1,1.4,0.6,,1.5,0.7,0.7,0.8,0.7,,0.2,,,
2002,1.1,1.5,1.1,1.5,0.9,,1.4,0.7,0.8,0.9,0.8,,0.2,,,
2003,1.1,1.4,1,1.3,0.7,1.6,1.3,0.7,0.6,0.8,0.7,,0.2,,,
2004,1.1,1.4,1,1.3,0.6,1.6,1.4,0.7,0.6,0.8,0.7,,0.2,,,
2005,1,1.3,,1.3,0.6,1.4,1.3,0.6,0.7,0.8,0.7,1.2,0.2,,,
2006,1,1.3,,1.3,0.6,1.4,1.3,0.6,0.6,0.7,0.7,1.1,0.2,,,
2007,0.9,1.2,,1.2,0.6,1.3,1.2,0.6,0.6,0.7,0.6,1.1,0.2,,,
2008,0.9,1.1,0.8,1.1,0.5,1.3,1.1,0.5,0.6,0.6,0.5,1,0.2,,,
2009,0.7,1.1,0.9,1,0.4,1.3,1,0.5,0.5,0.6,0.6,0.9,0.2,1.1,,
2010,0.7,1.1,1,1.1,0.5,1.3,1,0.5,0.5,0.6,0.6,0.9,0.2,1.2,,
2011,0.7,1.1,1,1,0.5,1.3,0.9,0.5,0.5,0.6,0.6,0.8,0.2,1,,
2012,0.6,1.2,0.9,0.9,0.5,1.3,0.9,0.5,0.5,0.5,0.6,,0.2,1,,
2013,0.7,1.1,0.8,1.1,0.5,1.3,1,0.5,0.5,0.5,0.5,,0.2,1.1,1,0.4
2014,0.6,1.1,0.8,1,0.4,1.3,0.8,0.4,0.5,0.4,0.5,,0.2,1,1,0.4
2015,0.8,1.1,0.8,1,0.4,1.3,0.8,0.4,0.5,0.4,0.5,,0.2,1.1,1,0.4
