Date,Randwick,Rozelle,Lindfield,Liverpool,Bringelly,Chullora,Earlwood,Richmood,Bargo,ST Marys,Vineyard,Macarturm,Oakdale,Prospect,Campbelltown,Camden
1996,1.3,,1.3,0.8,1.3,,,1.4,1.8,1.2,,,,,,
1997,1.6,,1.3,0.9,1.5,,1.2,1.6,1.9,1.4,1.7,,2.4,,,
1998,1.6,,1.4,1,,,1,1.6,1.3,1.4,1.7,,,,,
1999,1.4,1,1.2,1,1.4,,1.1,1.6,1.6,1.2,1.6,,2.4,,,
2000,1.6,1.3,1.4,1.4,1.6,,1.3,1.6,1.8,1.5,1.6,,2.3,,,
2001,1.8,1.4,1.5,1.5,1.8,,1.4,1.8,2.1,1.7,1.8,,,,,
2002,1.8,1.5,1.8,1.4,1.8,,1.5,1.8,2,1.7,1.9,,,,,
2003,1.7,1.4,1.6,1.4,1.8,1.3,1.4,1.7,2.1,1.5,1.9,,2.6,,,
2004,1.9,1.6,1.6,1.5,1.8,1.5,1.5,1.9,2.2,1.7,2.1,,2.7,,,
2005,2,1.6,,1.5,1.7,1.5,1.5,1.9,2.1,1.7,2,1.8,2.6,,,
2006,1.8,1.5,,1.5,1.7,1.4,1.5,1.9,2.2,1.6,1.9,1.7,2.7,,,
2007,1.9,1.5,,1.5,1.8,1.4,1.5,1.9,2.1,1.7,1.9,1.7,2.7,,,
2008,1.8,1.4,1.5,1.3,1.6,1.3,1.4,1.6,1.9,1.5,1.8,1.6,2.4,1.4,,
2009,2.2,1.6,1.6,1.5,1.7,1.5,1.5,2,2.3,1.8,1.9,1.9,2.7,1.8,,
2010,2,1.7,1.5,1.3,1.7,1.3,1.5,1.8,2.1,1.7,1.6,1.8,2.7,1.5,,
2011,1.8,1.5,1.5,1.3,1.8,1.4,1.5,1.7,1.9,1.7,1.6,1.8,2.5,1.5,,
2012,1.8,1.7,1.5,1.3,1.6,1.3,1.5,1.7,1.9,1.5,1.6,,2.4,1.5,,
2013,1.9,1.7,1.6,1.5,1.7,1.4,1.5,1.9,2,1.7,1.9,,2.5,1.7,1.5,1.9
2014,1.9,1.7,1.7,1.6,1.8,1.5,1.5,2,2.1,1.8,2,,2.5,1.8,1.6,1.9
2015,1.9,1.6,1.6,1.4,1.7,1.5,1.5,1.8,1.9,1.7,1.9,,2.4,1.6,1.5,1.8
