Date,Randwick,Rozelle,Lindfield,Liverpool,Bringelly,Chullora,Earlwood,Richmood,Bargo,ST Marys,Vineyard,Macarturm,Oakdale,Prospect,Campbelltown,Camden
1994,,,,22.1,21.1,,,23.1,,19.9,,,,,,
1995,18.2,,15.1,17.9,16.0,,,17.3,,,,,,,,
1996,17.1,,13.9,,15.0,,,14.7,,,,,,,,
1997,18.1,,15.4,18.5,16.7,,18.5,17.8,,14.7,18.0,,,,,
1998,17.2,,,17.8,16.3,,18.6,15.3,,15.1,16.4,,,,,
1999,16.7,,,16.5,14.9,,15.7,13.7,,13.7,14.4,,,,,
2000,17.5,,13.8,17.6,15.9,,18.7,14.8,,14.6,15.1,,,,,
2001,18.0,,15.9,19.2,17.7,,20.9,17.5,,17.1,17.7,,,,,
2002,20.5,,18.7,23.8,21.5,,24.2,21.8,,20.6,21.8,,,,,
2003,19.7,,16.9,21.7,18.7,24.0,21.8,18.2,,18.3,18.3,,,,,
2004,19.9,20.1,,21.6,19.7,22.5,22.4,18.4,,17.0,17.9,,,,,
2005,19.3,20.2,,21.5,19.5,22.2,22.6,16.6,,18.9,17.3,19.6,13.4,,,
2006,19.3,20.4,,21.6,20.2,21.9,23.4,17.4,,19.7,18.5,17.2,14.0,,,
2007,18.2,18.1,,19.0,18.5,19.5,20.5,14.8,,17.1,16.5,15.9,12.8,18.0,,
2008,17.3,17.3,14.4,17.6,15.7,19.5,19.3,13.0,,14.8,15.2,14.5,12.4,17.8,,
2009,26.2,24.7,22.0,25.9,24.8,26.1,27.1,21.4,,23.2,23.5,21.3,19.5,25.8,,
2010,16.0,16.1,13.6,17.0,15.4,17.7,17.9,13.1,12.9,15.1,14.5,14.0,10.7,15.4,,
2011,15.9,16.6,13.2,,15.9,19.9,18.1,13.2,12.9,14.7,14.0,13.2,10.7,15.8,,
2012,18.0,16.9,13.9,19.8,15.7,18.1,19.6,15.1,14.3,14.4,14.4,,11.7,17.3,,
2013,18.8,18.3,14.3,21.1,17.0,18.3,19.9,17.3,15.7,16.0,16.1,,13.6,19.2,15.8,15.4
2014,18.2,17.8,14.1,19.1,16.6,18.1,18.3,15.4,14.4,16.7,16.4,,13.0,17.6,16.9,15.6
2015,18.6,16.7,14.0,18.6,15.8,17.5,17.2,12.8,13.3,15.1,15.9,,11.4,17.6,15.6,13.9
