Date,year,group,Sydney central-east RAQI ,Sydney north-west RAQI ,Sydney south-west RAQI ,Randwick,Rozelle,Lindfield,Liverpool,Bringelly,Chullora,Earlwood,Richmood,Bargo,ST Marys,Vineyard,Macarturm,Oakdale,Prospect,Campbelltown,Camden
1986-05-01,1986,1,33,,,,33,,,,,24,,,,,,,,,
1986-05-02,1986,1,43,,,,43,,,,,19,,,,,,,,,
1986-05-03,1986,1,95,,,,95,,,,,24,,,,,,,,,
1986-05-04,1986,1,110,,,,110,,,,,22,,,,,,,,,
1986-05-05,1986,1,67,,,,67,,,,,22,,,,,,,,,
1986-05-06,1986,1,157,,,,157,,,,,39,,,,,,,,,
1986-05-07,1986,1,62,,,,62,,,,,33,,,,,,,,,
1986-05-08,1986,1,105,,,,105,,,,,31,,,,,,,,,
1986-05-09,1986,1,90,,,,90,,,,,38,,,,,,,,,
1986-05-10,1986,1,157,,,,157,,,,,24,,,,,,,,,
1986-05-11,1986,1,71,,,,71,,,,,22,,,,,,,,,
1986-05-12,1986,1,19,,,,19,,,,,17,,,,,,,,,
1986-05-13,1986,1,48,,,,48,,,,,21,,,,,,,,,
1986-05-14,1986,1,38,,,,38,,,,,24,,,,,,,,,
1986-05-15,1986,1,38,,,,38,,,,,21,,,,,,,,,
1986-05-16,1986,1,57,,,,57,,,,,24,,,,,,,,,
1986-05-17,1986,1,133,,,,133,,,,,41,,,,,,,,,
1986-05-18,1986,1,48,,,,48,,,,,39,,,,,,,,,
1986-05-19,1986,1,30,,,,14,,,,,30,,,,,,,,,
1986-05-20,1986,1,25,,,,24,,,,,25,,,,,,,,,
1986-05-21,1986,1,76,,,,76,,,,,28,,,,,,,,,
1986-05-22,1986,1,67,,,,67,,,,,13,,,,,,,,,
1986-05-23,1986,1,71,,,,71,,,,,31,,,,,,,,,
1986-05-24,1986,1,26,,,,19,,,,,26,,,,,,,,,
1986-05-25,1986,1,157,,,,157,,,,,20,,,,,,,,,
1986-05-26,1986,1,176,,,,176,,,,,33,,,,,,,,,
1986-05-27,1986,1,157,,,,157,,,,,35,,,,,,,,,
1986-05-28,1986,1,148,,,,148,,,,,43,,,,,,,,,
1986-05-29,1986,1,119,,,,119,,,,,28,,,,,,,,,
1986-05-30,1986,1,38,,,,38,,,,,24,,,,,,,,,
